"Recalls, Market Withdrawals, & Safety Alerts | FDA",,,,,
Date,Brand Name(s),Product Description,Product Type,Recall Reason Description,Company Name
03/24/2020,"King Soopers, Smith’s and more",Salads,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared peanut,Papa John’s Salads and Produce
03/19/2020,Sarap Asian Fusion,Asian fusion cookies,"Food & Beverages, Allergens, Food & Beverage Safety","Undeclared allergens wheat, milk and soy",Sarap Asian Fusion
03/17/2020,Du Sud,Seedless Raisins,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared sulfites,P. East Trading Corp.
08/28/2018,Allied Import Inc.,Lily Bulb,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Sulfites,Allied Imports Inc.
05/25/2018,Zoe’s,Cookies,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared tree nuts (walnuts),Dough-to-Go
05/08/2018,Van's,Waffles,"Food & Beverages, Allergens, Food & Beverage Safety",Allergens - Milk and Wheat,Van's Foods
05/04/2018,Acadica,Kratom dietary supplement,"Food & Beverages, Allergens, Food & Beverage Safety",Salmonella,"Badger Botanicals, LLC"
04/21/2018,Happy Harvest,Canned leaf spinach,"Food & Beverages, Allergens, Food & Beverage Safety",Peanuts,"McCall Farms, Inc"
03/23/2018,Maurice’s Southern Gold,Maurice’s Southern Gold BBQ Sauce Honey,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Wheat And Soy,Piggie Park Enterprises Inc.
03/23/2018,Carolina Gold,Honey Sauce,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Wheat And Soy,Piggie Park Enterprises Inc.
03/16/2018,Trader Joe’s,Chocolate Chip Cookie,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared peanut,Chris’s Cookies
03/06/2018,Weis,Dried beef party rye dip,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Milk and Egg,Weis Markets
02/28/2018,"Progressive Laboratories, Xenesta",Dietary supplements,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared milk,"Progressive Laboratories, Inc."
02/25/2018,Kancho,Snack Biscuit,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared peanut,LOTTE Int’l America Corp
02/23/2018,Heinen's,Potato gnocchi,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared milk,"La Pasta, Inc."
02/22/2018,Whole Foods,Vegan Chicken Bites,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Pecan,Sunneen Health Foods
02/22/2018,Market of Choice,Kale Salad,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared egg,Market of Choice
02/22/2018,Emerald,Glazed Walnuts,"Food & Beverages, Allergens, Food & Beverage Safety","Undeclared Peanuts, Almonds, Cashews and Pecans","Snyder's-Lance, Inc."
02/22/2018,Seggiano,Kale Pesto,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared tree nuts (cashews),"Seggiano USA, Inc."
02/17/2018,SKI,Cherry SKI citrus soda,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Red #40 and Yellow #5,The Double Cola Company
02/09/2018,Rajbhog Sweets,Jalebi,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared almonds,Rajbhog Distributors GA. Inc.
02/09/2018,"Big Win, Uncle Ray's, Gourmet Select, more",Popcorn,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared milk,Dedinas Franzak Enterprises
02/09/2018,Big Win,Popcorn,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared milk,Dedinas-Franzak Enterprises
02/09/2018,Weis,Store-made Penne Pasta with Asiago Sauce and Grilled Chicken single serving meal,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared milk,Weis Markets
02/09/2018,Oberlander,Chocolate Kokosh Cake,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared almonds,Orthodox Baking Co
02/09/2018,"Market District, Giant Eagle","Toasted crumb tilapia, breaded chicken breast","Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Milk Allergen,"Giant Eagle, Inc."
02/09/2018,Whole Foods Market,Tarts,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Almond Flour,Whole Foods Market
02/08/2018,Chapis,Bread Crumbs,"Food & Beverages, Allergens, Food & Beverage Safety","Undeclared Wheat, Milk, Eggs, Tree Nuts, and, Soybean",Chapis Spice & Tea
02/08/2018,Private Selection,Salted Caramel Chocolate Almond Pie,"Food & Beverages, Allergens, Food & Beverage Safety",Undecalred almonds and egg,Legendary Baking
02/08/2018,Dierbergs Kitchen,Flavored Butters,"Food & Beverages, Allergens, Food & Beverage Safety","Undeclared Fish (Bonito and Cod), Lobster, Crab, Shrimp, Soy and Wheat",Dierbergs Markets
02/08/2018,Fairway,Blondie cookies,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared walnuts,Fairway ‘‘Like No Other Market’’ ®
02/08/2018,Wegmans,Original Killer Brownies with Pecans,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Peanuts,"Wegmans Food Markets, Inc."
02/08/2018,Whole Foods Market,Cold pressed apple juice,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared tree nut (cashew),Urban Remedy
02/08/2018,Taste of Inspirations,Greek pasta salad,"Food & Beverages, Allergens, Food & Beverage Safety",Allergen: Milk,"A.S.K. Foods, Inc. (Hannaford Supermarkets)"
02/08/2018,Creamy Creations,Ice Cream,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared nut,HEB
02/08/2018,Golden Flake,Potato chips,"Food & Beverages, Allergens, Food & Beverage Safety",Contain Milk and other Dairy Ingredients,"Golden Flake Snack Foods, Inc."
02/08/2018,Stauffer’s,Animal crackers,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Milk,D. F. Stauffer Biscuit Co.
02/08/2018,Specialty Commodities,Almonds,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Cashew,"Specialty Commodities, Inc."
02/08/2018,Coborn’s and Cash Wise,Chocolate chip cookie bars,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared milk,Coborn’s Inc
02/08/2018,Whole Foods Market,PB&J Greek Yogurt Parfaits,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Allergens - soy and tree nut (almond and coconut),Sunneen Health Foods
02/08/2018,7-Select,Mantecada (Muffin),"Food & Beverages, Allergens, Food & Beverage Safety",may contain undeclared “milk”,BAK-EZ Bakery Company
02/08/2018,"Specialty Commodities, Inc.",Dry Roasted Almonds,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared cashews,"Specialty Commodities, Inc."
02/07/2018,Cherry Valley,Cupcakes,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared milk,Cherry Valley Marketplace
02/07/2018,Natural Grocers,Organic Deglet Noor Dates Pitted,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared coconut,"Vitamin Cottage Natural Food Markets, Inc."
02/07/2018,Marich Confectionery,Chocolate Caramel Hearts,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Almonds,Marich Confectionery
02/06/2018,Weis,Dried beef party rye dip,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Milk and Egg,Weis Markets
02/06/2018,Masa’s Gourmet,Sauces,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared milk,"Rikki USA, Inc."
02/06/2018,Falafel King,Tzatziki (cucumber) sauce,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Milk,Falafel King
02/05/2018,Southern Grove,Unsalted Almonds,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Wheat and Soy,"Kanan Enterprises, Inc."
02/01/2018,Daisho,Kimchi Hot Pot Soup Base,"Food & Beverages, Allergens, Food & Beverage Safety","Undeclared Crustacean Shellfish (Shrimp, Crab)",JFC International Inc.
01/24/2018,Sun Noodle,Tonkotsu Ramen,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Fish,Sun Noodle
01/23/2018,Several Brands,"Cheeses, breads, and desserts","Food & Beverages, Allergens, Food & Beverage Safety","Undeclared Wheat, Soy, Egg, Milk and Undeclared Artificial Coloring",Productos Pacheco Inc.
01/22/2018,Several Brands,"Cheeses, breads, and desserts","Food & Beverages, Allergens, Food & Beverage Safety","Undeclared Wheat, Soy, Egg, Milk and Undeclared Artificial Coloring",Productos Pacheco Inc.
01/19/2018,Ottogi,Rice Cake Soup,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared milk,"Ottogi America, Inc."
01/18/2018,Whole Foods Market,Cheesecake bars,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Almond Flour,Whole Foods Market
01/15/2018,"Hiland Dairy, Tampico","Orange Juice, Citrus Punch","Food & Beverages, Allergens, Food & Beverage Safety",Undeclared milk,Hiland Dairy
01/12/2018,Rico,Tofu Breakfast Burrito,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Soy,Rico Brand
01/11/2018,Essential Everyday®,Coat & Bake Original Chicken Coating,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared milk,Gilster – Mary Lee Corp.
01/10/2018,Rely,Dried Longya Lily,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Sulfites,Wells Collection Inc
01/05/2018,Chao Café,instant coffee,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared milk,"Hong Lee Trading, Inc."
01/02/2018,New Seasons Market Grab and Go,Macaroni and Cheese,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared egg,New Seasons Market
12/29/2017,"Wegmans, Alpine Valley, Circle K and others",Dark Chocolate Products,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared milk,First Source
12/29/2017,"DSD Merchandisers, Inc.",Dark Chocolate Almond Products,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Milk,"DSD Merchandisers, Inc."
12/29/2017,Hot Pockets,Cheese Pizza Snack Bites,"Food & Beverages, Allergens, Food & Beverage Safety","Undeclared Allergens egg, milk, soy, and wheat",Nestle USA
12/29/2017,"CVS Gold Emblem, Ocean State Candy, Hannaford Excellent, Market Basket, & Weigels",Dark Chocolate Products,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared milk,"New American Food Products, LLC"
12/29/2017,Germack,Dark Chocolate Almond Bark,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Milk,Germack Roasting Co
12/29/2017,Setton Farms,Dark Chocolate Products,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Milk,"Setton Internatonal Foods, Inc."
12/29/2017,None,"Chocolate covered coffee beans, cranberries, almonds, raisins, pretzel balls, ginger","Food & Beverages, Allergens, Food & Beverage Safety",Undeclared milk,Kroger
12/29/2017,Colorado Nut Company and various other private labels,"Cashew Cranberry Cherry Jubilee, Oat Bran Nutty Crunch, Honey Nutty Granola, Peanut Delight, and Frontier Trail Mix","Food & Beverages, Allergens, Food & Beverage Safety",Undeclared milk,Colorado Nut Company
12/29/2017,Choceur,Dark Chocolate Bars,"Food & Beverages, Allergens, Food & Beverage Safety",almond pieces in the product,ALDI
12/29/2017,Daisy’s Bakery Inc.,Gourmet Concha,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared milk,Daisy’s Bakery Inc.
10/31/2017,Whole Foods Market,Pumpkin Drop cookies,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Walnuts,Whole Foods Market
10/30/2017,Meijer,Dark Chocolate Products,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Milk,Meijer
10/23/2017,Giant Eagle,Breaded Shrimp,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared egg,Giant Eagle
10/17/2017,Kenny’s,Buckeye Pie,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared wheat,"Kenny’s Great Pies, Inc."
09/07/2017,Wegmans,Muffins,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared walnuts,Wegmans
06/12/2017,Gourmet Bay,"Breaded Tilapia: toasted crumb, honey mustard, citrus coconut","Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Milk,Slade Gorton Co. Inc.
05/24/2017,Hail Merry,Lemon Mini Miracle Tart Party Pack,"Food & Beverages, Allergens, Food & Beverage Safety",Undeclared Cashews,Hail Merry
05/18/2017,Quality Nut Co.,"Milk chocolate peanuts, chocolate peanuts, trail mix, sweet and spicy mix","Food & Beverages, Allergens, Food & Beverage Safety","Undeclared Milk, Soy, or Wheat",Quality Nut Co.
03/31/2020,Dragon Kratom,Dietary Supplements,"Food & Beverages, Allergens, Food & Beverage Safety, Foodborne Illness",Salmonella,"Maya Distribution, LLC"
03/25/2020,ALREEF,Dried Apricots Sour,"Food & Beverages, Allergens, Food & Beverage Safety, Fruit/Fruit Product",Undeclared Sulfites,Golden Star Wholesale
05/25/2018,WATAN DRY FRUITS,Dried Apricot,"Food & Beverages, Allergens, Food & Beverage Safety, Fruit/Fruit Product",Sulfites,"Global Commodities, Inc."
03/27/2020,"Caito Food, Renaissance Food Group, Open Acres, more","Fresh cut cantaloupe, honeydew melon, watermelon, more","Food & Beverages, Allergens, Food & Beverage Safety, Fruit/Fruit Product , Foodborne Illness",Salmonella,Caito Foods
03/17/2020,S&W,White Beans,"Food & Beverages, Allergens, Food & Beverage Safety, Grain/Grain Product",Undeclared Sulfites,"Faribault Foods, Inc."
03/30/2020,Priano,Rosso Pesto Sauce,"Food & Beverages, Allergens, Food & Beverage Safety, Gravy/Sauces",Allergen: Eggs and Milk,BLM Products U. Vertriebsges
02/09/2018,Lidia’s,Marinara Sauce,"Food & Beverages, Allergens, Food & Beverage Safety, Gravy/Sauces",Undeclared Milk,Nonna Foods
02/08/2018,Carriage House Creations,Sauces,"Food & Beverages, Allergens, Food & Beverage Safety, Gravy/Sauces",Undeclared soy and peanuts,Carriage House Creations
02/08/2018,Waterfront Bistro,Tartar Sauce,"Food & Beverages, Allergens, Food & Beverage Safety, Gravy/Sauces",Undeclared Egg,"Silver Spring Foods, Inc."
02/08/2018,California Sun Dry Foods,Sun-dried tomato pesto,"Food & Beverages, Allergens, Food & Beverage Safety, Gravy/Sauces",Allergen: Milk and Almonds,California Sun Dry
02/08/2018,Fat Cat,Hot Sauce,"Food & Beverages, Allergens, Food & Beverage Safety, Gravy/Sauces",Undeclared peanut,Fat Cat Gourmet Foods
03/20/2020,Salt & Straw,Chocolate Gooey Brownie Ice Cream,"Food & Beverages, Allergens, Food & Beverage Safety, Ice Cream/Frozen Dairy",Salt & Straw Voluntarily Recalls Certain Lots of Chocolate Gooey Brownie Ice Cream Pints Due to Possible Undeclared Peanuts,Salt & Straw Ice Cream
03/17/2020,Sweet Me Creamery,Ice Cream,"Food & Beverages, Allergens, Food & Beverage Safety, Ice Cream/Frozen Dairy",Undeclared Peanuts,Kemps
02/08/2018,Mikawaya,Chocolate Chocolate Mochi Ice Cream,"Food & Beverages, Allergens, Food & Beverage Safety, Ice Cream/Frozen Dairy",Allergen: Peanuts,Mikawaya
01/03/2018,Polly Ann,Ice Bars,"Food & Beverages, Allergens, Food & Beverage Safety, Ice Cream/Frozen Dairy",Undeclared milk,"California Popsicle, Inc."
10/01/2017,Tampico®,Tropical Punch,"Food & Beverages, Allergens, Food & Beverage Safety, Juice",Undeclared Milk Allergen,Dean Dairy
03/19/2020,MyoWhey,Chocolate Cookie Crunch dietary supplement,"Food & Beverages, Allergens, Food & Beverage Safety, Meal Replacements",Undeclared Milk and Soy,"Purus Labs, Inc."
02/08/2018,Nuvita,"Plant based superfood 30 shakes, chocolate flavor and vanilla flavor","Food & Beverages, Allergens, Food & Beverage Safety, Meal Replacements",Undeclared Peanuts,Nuvita
02/08/2018,CLIF,Snack Bars,"Food & Beverages, Allergens, Food & Beverage Safety, Meal Replacements",Undeclared peanut and some tree nuts,Undeclared peanut and some tree nuts
03/17/2020,Forager,Plant Protein Shake,"Food & Beverages, Allergens, Food & Beverage Safety, Milk/Milk Product",Undeclared almonds,Forager Project
02/08/2018,Nutiva,Protein shake,"Food & Beverages, Allergens, Food & Beverage Safety, Milk/Milk Product",Undeclared Peanuts,Nutiva
09/29/2017,Chun Yen Trading Co.,Reishi Coffee,"Food & Beverages, Allergens, Food & Beverage Safety, Milk/Milk Product",Undeclared milk,Chun Yen Trading Co.
02/08/2018,N/A,Almond Drinking Powder,"Food & Beverages, Allergens, Food & Beverage Safety, Nuts & Nut Products",Undeclared Peanuts,"Feng Mao Biotechnology Organic Food Co., LTD."
02/07/2018,Mann Packing,Organic Veggies with Organic Ranch Dip,"Food & Beverages, Allergens, Food & Beverage Safety, Organic Food / Home Grown","Undeclared Milk, Soy, Eggs, Mustard",Mann Packing
12/29/2017,Yorgo Foods Inc.,varieties of Hommus and Baba Ghannouj,"Food & Beverages, Allergens, Food & Beverage Safety, Organic Food / Home Grown",potential to be contaminated with Listeria monocytogenes,Yorgo Foods
03/23/2020,Sweet Earth,Aloha BBQ Quesadilla,"Food & Beverages, Allergens, Food & Beverage Safety, Prepared Food",Undeclared Egg and Milk,Sweet Earth Foods
03/19/2020,H&C Food Inc,Frozen Fish Balls & Fuzhou Fish Balls,"Food & Beverages, Allergens, Food & Beverage Safety, Prepared Food","H&C Food Inc. Issues Allergy Alert on Undeclared Wheat, Pork, Egg, and Crustacean in Frozen Fish Balls",H&C Food Inc
03/19/2020,Gourmet Take Away,Sesame Noodle Salad,"Food & Beverages, Allergens, Food & Beverage Safety, Prepared Food",Undeclared egg,Market of Choice
03/17/2020,Fred Meyer Bakery,Angel Food Cake Bar,"Food & Beverages, Allergens, Food & Beverage Safety, Prepared Food",Undeclared Allergens milk and soy,Clackamas Bakery
03/17/2020,feel good foods,Vegetable Fried Rice frozen meal,"Food & Beverages, Allergens, Food & Beverage Safety, Prepared Food",Undeclared egg,Feel Good Foods Inc.
02/09/2018,Everroast,Chicken Caesar Wrap,"Food & Beverages, Allergens, Food & Beverage Safety, Prepared Food",Undeclared anchovy,"Harris Teeter, LLC"
02/09/2018,Friendly Farms,Key Lime Crunch Tilts,"Food & Beverages, Allergens, Food & Beverage Safety, Prepared Food",Undeclared Almond,"Commonwealth Dairy, LLC"
02/09/2018,Our Chef's Own,Spinach Orzo Salad,"Food & Beverages, Allergens, Food & Beverage Safety, Prepared Food",undeclared tree nut allergen,Whole Foods Market
02/08/2018,Red Robin,Crispy Onion Rings,"Food & Beverages, Allergens, Food & Beverage Safety, Prepared Food",Undeclared: Milk,Lamb Weston
02/08/2018,Reser’s,DescriptionMacaroni Salad,"Food & Beverages, Allergens, Food & Beverage Safety, Prepared Food",Undeclared Milk and Soy,"Reser’s Fine Foods, Inc."
02/08/2018,Chef Luca's,Baked Cheese Lasagna,"Food & Beverages, Allergens, Food & Beverage Safety, Prepared Food",Allergen: Eggs,Italian Gluten Free Food CL
02/08/2018,Ronzoni,Thin Spaghetti,"Food & Beverages, Allergens, Food & Beverage Safety, Prepared Food",Undeclared Egg Allergen,Riviana Foods Inc
02/08/2018,HyVee,Various Pepperoni Refrigerated Pizzas,"Food & Beverages, Allergens, Food & Beverage Safety, Prepared Food",Undeclared Soy,"HyVee, Inc."
02/08/2018,Meijer,Greek Salad,"Food & Beverages, Allergens, Food & Beverage Safety, Prepared Food","mislabeled salads contain packaged croutons, which is an undeclared wheat allergen",Meijer
02/07/2018,Wegmans,Potato Salad,"Food & Beverages, Allergens, Food & Beverage Safety, Prepared Food",Allergen: Eggs,"A.S.K. Foods, Inc."
02/07/2018,Beyond Meat,Feisty Crumbles,"Food & Beverages, Allergens, Food & Beverage Safety, Prepared Food",Undeclaared Peanuts,Beyond Meat
01/17/2018,Michelina’s,Fettuccine Alfredo,"Food & Beverages, Allergens, Food & Beverage Safety, Prepared Food",Undeclared Soy,"Bellisio Foods, Inc.,"
10/23/2017,Tres Latin Foods,Pupusas,"Food & Beverages, Allergens, Food & Beverage Safety, Prepared Food",Undeclared Milk Allergen,Tres Latin Foods
10/23/2017,Earthbound Farm LLC,Chopped Asian Style Salad Kit,"Food & Beverages, Allergens, Food & Beverage Safety, Prepared Food",Undeclared Milk and Egg,Earthbound Farm LLC
10/18/2017,weis,"Bacon, Lettuce and Tomato (BLT) sandwiches","Food & Beverages, Allergens, Food & Beverage Safety, Prepared Food",Undeclared Egg,Weis Markets
10/09/2017,Great American Deli,Chicken Salad Wheatberry Sandwich,"Food & Beverages, Allergens, Food & Beverage Safety, Prepared Food",Undeclared Eggs and Soy,Great American Deli
03/24/2020,Pictsweet Farms,Steam’ables Baby Brussels Sprouts,"Food & Beverages, Allergens, Food & Beverage Safety, Produce","Allergen: Milk, Soybean",The Pictsweet Company
02/09/2018,7-Eleven,Caesar Salad,"Food & Beverages, Allergens, Food & Beverage Safety, Produce","Undeclared Fish, Wheat, Milk and Egg Allergen",Choice Farms LLC
01/04/2018,Condies Foods,Fruit cup,"Food & Beverages, Allergens, Food & Beverage Safety, Produce",Undeclared milk and egg allergen,Condies Foods
10/05/2017,Jansal Valley®,Dried Chili De Arbol Peppers,"Food & Beverages, Allergens, Food & Beverage Safety, Produce",Peanut Allergen,Sid Wainer & Son®
03/31/2020,Sugarfina,Sugar Cookies Products,"Food & Beverages, Allergens, Food & Beverage Safety, Snack Food Item",Allergen - Eggs,"Sugarfina, Inc."
03/30/2020,Snak Club,Tropical Trail Mix,"Food & Beverages, Allergens, Food & Beverage Safety, Snack Food Item","Allergens: Milk, Soy, Wheat, and Cashews",Century Snacks LLC
03/27/2020,Meijer,Dill Pickle Flavored Potato Chips,"Food & Beverages, Allergens, Food & Beverage Safety, Snack Food Item",Undeclared milk,"Shearer’s Foods, LLC"
03/24/2020,May Flower International Inc.,3+2 Soda Crackers,"Food & Beverages, Allergens, Food & Beverage Safety, Snack Food Item",Undeclared Milk Allergens,May Flower International Inc.
03/24/2020,Utz®,Carolina Style Barbeque Potato Chips,"Food & Beverages, Allergens, Food & Beverage Safety, Snack Food Item",due to undeclared soy,"Utz® Quality Foods, LLC"
03/23/2020,Sherman Candy Co.,Sherman Candy Caramels sold in gift baskets,"Food & Beverages, Allergens, Food & Beverage Safety, Snack Food Item","May contain undeclared pecans, walnuts, almonds and/or peanuts","Gift Services, Inc. dba GiftTree"
03/23/2020,Best Taste,Snack Ginger Sliced,"Food & Beverages, Allergens, Food & Beverage Safety, Snack Food Item",Undeclared Sulfites,Country Favor Inc.
03/17/2020,365 Everyday Value,Tortilla Chips,"Food & Beverages, Allergens, Food & Beverage Safety, Snack Food Item",Undeclared milk,Whole Foods Market
09/18/2018,Bellona,Milk Chocolate Flavored Coated Wafer with Hazelnut Crème Filling and White Chocolate Flavor,"Food & Beverages, Allergens, Food & Beverage Safety, Snack Food Item",Wheat,Lidl US
08/07/2018,El Guapo,Jamaica Hibiscus Flower,"Food & Beverages, Allergens, Food & Beverage Safety, Snack Food Item",Unlabeled Peanut,Mojave Foods Corporation
07/20/2018,Food Lion,Dill Pickle Flavored Potato Chips,"Food & Beverages, Allergens, Food & Beverage Safety, Snack Food Item",Undeclared milk,"Shearer’s Foods, LLC"
02/09/2018,Clancy’s,Combo snack bag,"Food & Beverages, Allergens, Food & Beverage Safety, Snack Food Item",Undeclared Milk,Olde York
02/07/2018,Peony Mark,Dried Lily Flower,"Food & Beverages, Allergens, Food & Beverage Safety, Snack Food Item",Undeclared Sulfites,Starway Incorporated
12/29/2017,Shoreline Fruit and Cherry Bay Orchards,Dark Chocolate Covered Cherry Products,"Food & Beverages, Allergens, Food & Beverage Safety, Snack Food Item",Milk Allergen,Shoreline Fruit LLC
12/29/2017,21st Century Snack Foods,Dark Chocolate Almonds,"Food & Beverages, Allergens, Food & Beverage Safety, Snack Food Item",Undeclared Milk Allergen,21st Century Snack Foods
10/18/2017,Thanlwin,Fried Bean Snack,"Food & Beverages, Allergens, Food & Beverage Safety, Snack Food Item",Undeclared Peanuts,Myanmar Wholesale
02/09/2018,Western Family,Western Family Onion Soup Mix,"Food & Beverages, Allergens, Food & Beverage Safety, Soup",Allergen: Eggs,Gilster-Mary Lee
10/03/2017,Royal Asia,Shrimp Wonton Noodle Soup,"Food & Beverages, Allergens, Food & Beverage Safety, Soup",Undeclared Eggs,TAI FOONG USA
03/25/2020,Melissa's Spicy Edamame,Spicy Edamame,"Food & Beverages, Allergens, Food & Beverage Safety, Spices, Flavors &  Salts",Undeclared Shellfish,"World Variety Produce, Inc."
03/19/2020,Meijer,Taco Seasoning Mix 4.5 OZ Bottle,"Food & Beverages, Allergens, Food & Beverage Safety, Spices, Flavors &  Salts",Undeclared milk,"McCormick & Company, Inc"
02/08/2018,JFC International Inc.,Rice Seasoning,"Food & Beverages, Allergens, Food & Beverage Safety, Spices, Flavors &  Salts","Undeclared wheat, soy, and fish",JFC International Inc.
12/29/2017,Spice Time and Spice Supreme,Beef Flavored Bouillon Cube products,"Food & Beverages, Allergens, Food & Beverage Safety, Spices, Flavors &  Salts",Undeclared Soy and Wheat,"Gel Spice Company, Inc."
12/29/2017,HERB-OX,Beef Flavor Granulated Bouillon,"Food & Beverages, Allergens, Food & Beverage Safety, Spices, Flavors &  Salts",Undeclared Milk,Creative Packaging
12/29/2017,Plow & Hearth,Chocolate Covered Cashews,"Food & Beverages, Allergens, Food & Beverage Safety, Tree Nuts",Undeclared Peanut,"Virginia Diner, Inc."
09/25/2018,Harris Teeter,Frozen yogurt,"Food & Beverages, Allergens, Food & Beverage Safety, Yogurt/Yogurt Product",Undeclared peanut,Harris Teeter
02/08/2018,San Francisco Foods,Seafood Salad,"Food & Beverages, Allergens, Food & Beverage Safety, Yogurt/Yogurt Product",Undeclared Milk,"Simply Fresh Foods, Inc."
02/08/2018,Whole Foods Market,Yogurt and Granola Parfaits,"Food & Beverages, Allergens, Food & Beverage Safety, Yogurt/Yogurt Product",Undeclared Almonds,Whole Foods Market
10/18/2017,O'Soy,Strawberry Soy Yogurt,"Food & Beverages, Allergens, Food & Beverage Safety, Yogurt/Yogurt Product",Undeclared Milk,Stonyfield
04/22/2020,Royal International Trading Inc.,"""TAINY BOCTOKA DRY FRUITS MIX COMPOT APPLE""","Food & Beverages, Allergens, Fruit/Fruit Product",Undeclared Sulfites,Royal International Trading Inc.
12/03/2019,Lin’s Waha Int’l Corp,Suantianyangmei Waxberry and Bingtangyangmei Waxberry,"Food & Beverages, Allergens, Fruit/Fruit Product",Undeclared sulfites and cyclamates,Lin’s Waha Int’l Corp
02/12/2020,Sunny Select,Au Jus Gravy Mix,"Food & Beverages, Allergens, Gravy/Sauces",Undeclared milk allergen,"McCormick and Company, Inc."
02/22/2019,Concord Fresh Success,Mild Salsa Seasoning Mix,"Food & Beverages, Allergens, Gravy/Sauces",Undeclared milk,Concord Foods
06/05/2019,Whole Foods Market,Specialty Pestos,"Food & Beverages, Allergens, Gravy/Sauces, Labeling","Undeclared Milk, Pine Nuts, Walnuts",North Atlantic Whole Foods Market
02/25/2019,Victoria,Marinara Sauce,"Food & Beverages, Allergens, Gravy/Sauces, Tree Nuts",Undeclared Cashew,Victoria
07/31/2020,Earth Grown,Vegan Non-Dairy Almond Based Frozen Desserts,"Food & Beverages, Allergens, Ice Cream/Frozen Dairy",Undeclared cashew,SmithFoods Inc.
06/25/2020,Enlightened,Chocolate Peanut Butter Ice Cream,"Food & Beverages, Allergens, Ice Cream/Frozen Dairy",May contain undeclared milk ingredients,"Beyond Better Foods, LLC"
01/06/2020,Jeni’s,Cold Brew with Coconut Cream Non-Dairy Frozen Dessert,"Food & Beverages, Allergens, Ice Cream/Frozen Dairy",Undeclared milk,Jeni’s Splendid Ice Creams
05/17/2019,Art Cream,Gluten Free Cookies N Cream Ice Cream,"Food & Beverages, Allergens, Ice Cream/Frozen Dairy",Undeclared Pecans,Art Cream
03/17/2020,Smartfood Delight,Sea Salt Flavored popcorn,"Food & Beverages, Allergens, Milk, Snack Food Item",Undeclared Milk,Frito-Lay
